PI Name, Organization
=====================
01SOLOMON P.,SUNY
03SOLOMON P.,SUNY
1MURCRAY F.,University of Denver
2MURCRAY F.,University of Denver
5BARNES J. E.,ESRL/GMD
6BARNES J. E.,ESRL/GMD
ADRIANI A.,CNR
ALLAART M.,KNMI
ANCELLET G.,CNRS
ANDERSEN S. B.,DMI
BARAY J.L.,University de la Reunion
BARNES J. E.,ESRL/GMD
BENCHERIF H.,University de la Reunion
BERNHARD G.,Biospherical Instruments
BLUMENSTOCK T.,IMK
BODEKER G. E.,NIWA
BROGNIEZ  C.,University de Lille
BURROWS J.,University of Bremen
CALPINI B.,Meteo Swiss
CARSWELL A. I.,AES
CLAUDE H.,DWD
COFFEY M. T.,NCAR
CONNOR B. J.,NIWA
CUEVAS E.,AEMET
DAVID C.,CNRS
DE BACKER H.,RMIB
DE LA NOE J.,Bordeaux
DE MAZIERE M.,IASB-BIRA
DELACASINIERE A.,IRSA
DELACASINIERE A.2,IRSA
DEMOULIN P.,University of Liege
DESHLER T.,University of Wyoming
DEZAFRA R. L.,SUNY
DI GIROLAMO P.,Univ Basilicata
DI IORIO T.,ENEA
DI SARRA G.A.,University of Rome
DISTERHOFT P.,University of Colorado
DOROKHOV V.,CAO
ELOKHOV A.,IAP
ERIKSEN P.,DMI
EVANS R. E.,ESRL/GMD
FAST H.,EC
FIOCCO G.,University of Rome
FORKMAN P.,OSO
FRIESS U.,University of Heidelberg
GALLE B.,Chalmers U. Technology
GHEUSI F.,University of Paul Sabatier
GIL M.,INTA
GILL M.,MET
GILLESPIE N.,MET
GODIN-BEEKMANN S.,CNRS
GOUTAIL F.,CNRS
GRIFFITH D.,University of Wollongong
GRUTTER M.,UNAM
HANNIGAN J.,NCAR
HANSEN G.,NILU
HASE F.,KIT
HAUCHECORNE A.,CNRS
HEINSELMAN C.,SRI
HURST D.,CIRES
JAEGER H.,IFU
JOHNSON B.,ESRL/GMD
JOHNSTON P. V.,NIWA
JONES N.,University of Wollongong
JUMELET J.,IPSL
KAEMPFER N.,University of Bern
KECKHUT P.,CNRS
KIVI R.,FMI
KOEHLER U.,DWD
KOENIG-LANGLO G.,AWI
KOIS B.,IMGW
KONDO Y.,University of Tokyo
KUNZI K.,University of Bremen
KYRO E.,FMI
LAMBKIN K.,ME
LEBLANC T.,JPL
LILEY J. B.,NIWA
LITYNSKA Z.,PIMWM
MAHIEU E.,University of Liege
MAKAROVA M.,SPBU
MANKIN W. G.,NCAR
MARCHAND M.,CNRS
MCCREADY M.,SRI
MCDERMID I. S.,JPL
MCGEE T.,GSFC
MCKENZIE R.,NIWA
MELLQVIST J.,Chalmers U. Technology
MENGISTU TSIDU G.,AAU
MIKKELSEN I. S.,DMI
MIZUNO A.,Nagoya University
MURCRAY F.,University of Denver
MUSCARI G.,INGV
NAGAHAMA T.,STEL
NAGAI T.,MRI
NAKANE H.,NIES
NEDOLUHA G. E.,NRL
NEUBER R.,AWI
NEWCHURCH M.,UAH
NICHOL S. E.,NIWA
NOTHOLT J.,University of Bremen
OH J.,SMWU
OLTMANS S.,ESRL/GMD
PAL S.,ISTS
PARRISH A.,Millitech/U. MA
PAZMINO A.,CNRS
PORTAFAIX T.,Universite de la Reunion
POSNY F.,University de la Reunion
QUEL E.,OAPA-CEILAP
QUEREL R.,NIWA
REDONDAS A.,AEMET
RICAUD P.,University of Paul Sabatier
RINSLAND C.,LaRC
ROSCOE H.,BAS
ROSEN J.,University of Wyoming
RUFFIEUX D.,MeteoSwiss
SALVADOR J.,OAPA
SANDERS R.,Deceased
SCHEELE M.P.,KNMI
SCHMIDLIN F. J.,WFF
SCHNEIDER M.,KIT
SCHREMS O.,AWI
SECKMEYER G.,University of Hannover
SICA R.,University of Western Ontario
SIMIC S.,BOKU-MEt
SINYAKOV V. P.,IEM
SKRIVANKOVA P.,CHMI
SMALE D.,NIWA
SNELS M.,ISAC-CNR
STEBEL K.,NILU
STEFANUTTI L.,CNRS
STEINBRECHT W.,DWD
STRAWBRIDGE K.,EC
STRONG K.,University of Toronto
STRONG K. 2,University of Toronto
STUBI R.,MeteoSwiss
SUSSMANN R.,IMK-IFU
SWART D. P. J.,RIVM
TARASICK D.,EC
THIEL S.,IFU
THOMAS A.,NIWA
TOON G. C.,JPL
TRICKL T.,IMK-IFU
UCHINO O.,MRI
VAN MALDEREN R.,RMIB
VAN ROOZENDAEL M.,IASB-BIRA
VARGHESE S.,ME
VAUGHAN G.,University of Manchester
VERVER G.,KNMI
VIALLE C.,IPSL
VIATTE P.,MeteoSwiss
VIROLAINEN Y.,SPBU
VON DER GATHEN P.,AWI
WERLE P.,IMK-IFU
WOOD S. W.,NIWA
WOODS P.,NPL
YELA M.,INTA
ZABLOCKI G.,IMGW
ZANDER R.,University of Liege
ZENG G.,NIWA
